itemLabel,areaLabel,partyLabel
Mayik Deng Madut,Warrap,OPP
Akok Majok Akok,Warrap,OPP
Deng Donato Deng Mayen,Warrap,OPP
George Angier Ring,Warrap,FDs
Bol Toby Maduot,Warrap,National Agenda
Joseph Malek Arop,Warrap,National Agenda
George Andrea Juma,Western Bahr el Ghazal,SPLM
Joseph Kon Garjouk Mariano,Western Bahr el Ghazal,SPLM
Mark Nyipoc Ubang,Western Bahr el Ghazal,SPLM
Ahmed Mohamed Musa,Western Bahr el Ghazal,SPLM
Neima Abbas Eldo,Western Bahr el Ghazal,SPLM
Mary Jarvas Yak,Western Bahr el Ghazal,SPLM
Wol Akech Akol,Western Bahr el Ghazal,SPLM
Ramadan Alamin,Western Bahr el Ghazal,SPLM
Akella Paulino Wanawila,Western Bahr el Ghazal,SPLM
Umjumma Juma Sabiel,Western Bahr el Ghazal,SPLM
Eshe Bari Wanji,Western Bahr el Ghazal,SPLM
Rashid Adam Alahala,Western Bahr el Ghazal,SPLM
Regina Joseph Kapa,Western Bahr el Ghazal,SPLM-IO
Asunta Nicola Dimo,Western Bahr el Ghazal,SPLM-IO
Edward Dominic Keyawa,Western Bahr el Ghazal,SPLM-IO
Rogeya Nowar Musa,Western Bahr el Ghazal,SPLM-IO
Justin Moses Ugodo,Western Bahr el Ghazal,SPLM-IO
Juma Zacharia Deng,Western Bahr el Ghazal,SPLM-IO
Nasir Gidu Asai Jalab,Western Bahr el Ghazal,SPLM-IO
Sunna Musu Juma,Western Bahr el Ghazal,SPLM-IO
Cluadio Francis Omdurman,Western Bahr el Ghazal,SPLM-IO
Hassan Zaid Kinga,Western Bahr el Ghazal,SPLM-IO
Ishag Elias Ibrahim Towo,Western Bahr el Ghazal,SSOA
Clement Juma Mbugoniwia,Western Bahr el Ghazal,SSOA
Simon Archangelo Ngbidigi,Western Bahr el Ghazal,SSOA
Suzan Thomas Perembata,Western Bahr el Ghazal,SSOA
Isaac Natali Louis,Western Bahr el Ghazal,OPP
Lang Tap Lom,Unity,SPLM
John Gatnyach Tot,Unity,SPLM
Tut Gatluak Manime,Unity,SPLM
Manasse Magok Rundial,Unity,SPLM
Fatuma Nyawang Bilieu,Unity,SPLM
Nadia Arop Dudi,Unity,SPLM
